site,x,y,date,year,month,rainfall,sun_hours,tasmin,tasmax
Raindrop_Wytham,446500,208500,16/08/2011,2011,8,77.88065542,156.2889893,11.64283968,20.26296789
Raindrop_Wytham,446500,208500,16/09/2011,2011,9,33.5331036,149.9271767,11.14477039,19.78466266
Raindrop_Wytham,446500,208500,16/10/2011,2011,10,32.98247286,132.7535715,8.545890449,16.83404158
Raindrop_Wytham,446500,208500,16/11/2011,2011,11,30.84434169,54.81781999,6.534373322,12.53085026
Raindrop_Wytham,446500,208500,16/12/2011,2011,12,79.71297498,65.65200646,3.033700151,8.911790887
Raindrop_Wytham,446500,208500,16/01/2012,2012,1,36.7324439,84.97306103,2.743336208,8.936289274
Raindrop_Wytham,446500,208500,16/02/2012,2012,2,25.59137196,70.96831961,0.581558947,6.805378513
Raindrop_Wytham,446500,208500,16/03/2012,2012,3,24.75434948,162.9249615,3.102273051,13.2031208
Raindrop_Wytham,446500,208500,16/04/2012,2012,4,151.1037997,132.7628327,3.667495434,11.69473006
Raindrop_Wytham,446500,208500,16/05/2012,2012,5,42.54524305,190.0163777,8.423354038,16.84020089
Raindrop_Wytham,446500,208500,16/06/2012,2012,6,149.2912434,124.9361302,10.7344479,17.73451766
Raindrop_Wytham,446500,208500,16/07/2012,2012,7,100.5235236,179.7438684,12.08158737,20.07432625
Raindrop_Wytham,446500,208500,16/08/2012,2012,8,85.59418438,162.6220634,13.02037913,21.2422931
Raindrop_Wytham,446500,208500,16/09/2012,2012,9,66.10236528,171.5943229,8.778192069,17.96950454
Raindrop_Wytham,446500,208500,16/10/2012,2012,10,121.9711246,84.90097919,6.747433593,12.78130081
Raindrop_Wytham,446500,208500,16/11/2012,2012,11,107.0785053,73.88041269,3.723537712,9.520937164
Raindrop_Wytham,446500,208500,16/12/2012,2012,12,119.028963,62.05207941,2.049393375,7.945316818
Raindrop_Wytham,446500,208500,16/01/2013,2013,1,73.1314772,47.66021322,1.413560327,5.686174403
Raindrop_Wytham,446500,208500,16/02/2013,2013,2,52.46156154,71.98615311,0.403355862,5.573021113
Raindrop_Wytham,446500,208500,16/03/2013,2013,3,83.30777098,61.020273,-0.039385612,5.593275784
Raindrop_Wytham,446500,208500,16/04/2013,2013,4,27.76680621,176.1504829,3.432238122,12.12344542
Raindrop_Wytham,446500,208500,16/05/2013,2013,5,65.41861032,192.8767453,6.225892401,15.15987133
Raindrop_Wytham,446500,208500,16/06/2013,2013,6,18.69483603,180.8174334,9.791930973,18.50192251
Raindrop_Wytham,446500,208500,16/07/2013,2013,7,43.87217352,296.1028696,13.25507336,24.90963839
Raindrop_Wytham,446500,208500,16/08/2013,2013,8,23.80845093,203.1449424,12.75788516,22.29977058
Raindrop_Wytham,446500,208500,16/09/2013,2013,9,50.73140665,121.7247767,9.813060577,18.40044305
Raindrop_Wytham,446500,208500,16/10/2013,2013,10,103.5783262,100.0956762,9.744373452,15.57899987
Raindrop_Wytham,446500,208500,16/11/2013,2013,11,60.83150661,85.67544794,3.417842327,9.242069009
Raindrop_Wytham,446500,208500,16/12/2013,2013,12,106.587274,63.57602366,2.991293874,9.429889268
Raindrop_Wytham,446500,208500,16/01/2014,2014,1,162.8168153,76.75235589,2.851785636,8.741159205
Raindrop_Wytham,446500,208500,16/02/2014,2014,2,109.2826674,96.30888496,3.659538588,9.033726602
Raindrop_Wytham,446500,208500,16/03/2014,2014,3,39.77034203,133.8533829,3.186041057,12.24242565
Raindrop_Wytham,446500,208500,16/04/2014,2014,4,63.20961131,148.444962,6.027032311,14.45135239
Raindrop_Wytham,446500,208500,16/05/2014,2014,5,97.49745429,184.0340317,8.480274086,16.61010358
Raindrop_Wytham,446500,208500,16/06/2014,2014,6,32.50792598,234.9857631,11.07825151,20.57948682
Raindrop_Wytham,446500,208500,16/07/2014,2014,7,47.32860133,263.2223387,12.95749661,24.03519006
Raindrop_Wytham,446500,208500,16/08/2014,2014,8,99.94471417,188.3794069,11.1362495,19.89221056
Raindrop_Wytham,446500,208500,16/09/2014,2014,9,4.575956529,142.5554269,10.93223061,20.31719258
Raindrop_Wytham,446500,208500,16/10/2014,2014,10,77.24115631,114.6050952,9.632737824,15.95575197
Raindrop_Wytham,446500,208500,16/11/2014,2014,11,100.4217184,60.90775573,5.60450838,11.09819715
Raindrop_Wytham,446500,208500,16/12/2014,2014,12,50.04631171,96.81942776,2.08329515,8.22415295
Raindrop_Wytham,446500,208500,16/01/2015,2015,1,65.4774001,80.61868045,1.26939397,7.838038612
Raindrop_Wytham,446500,208500,16/02/2015,2015,2,52.04628348,80.24862501,0.731461517,6.854883763
Raindrop_Wytham,446500,208500,16/03/2015,2015,3,30.37288406,121.7031833,2.995323993,10.4998422
Raindrop_Wytham,446500,208500,16/04/2015,2015,4,24.37041916,213.5142209,4.266326228,14.99852325
Raindrop_Wytham,446500,208500,16/05/2015,2015,5,58.11114395,182.1966692,7.269990551,15.77117344
Raindrop_Wytham,446500,208500,16/06/2015,2015,6,30.85044784,241.2222808,9.627660553,20.08082839
